uuid,creation_date,frequency,day,updated_at,next_payment_day,status
2a589c23-1100-400d-af87-81c36123b877,1732727386,weekly,sunday,2024-12-01T08:00:27.332126955Z,8,enabled
6a7314db-b71e-4fa4-b8d4-403d5c1fd971,1732727403,weekly,sunday,2024-12-01T08:00:37.395310105Z,8,enabled
5bd1d4db-f38d-406a-b8f3-ac9ad2f6b6cf,1727161290,biweekly,wednesday,2024-11-27T08:00:30.611075708Z,11,enabled
0220fb2f-aa7c-426f-b6c8-ebaba9c4dd97,1731188378,biweekly,monday,1731188378,18,enabled
72478cf7-731b-4fb0-b877-f01764e92d60,1727818658,monthly,first_day,2024-11-01T08:00:46.70395459Z,1,enabled
a077aea0-4469-4751-a6ff-23fdfab0113a,1726520717,biweekly,friday,2024-09-27T09:15:34.330511268Z,27,disabled
1f96bd51-04fe-4aa2-9820-05f78230afe6,1730356418,monthly,first_day,1730356418,1,enabled
59ca1fa6-70b6-4700-a5d5-2279b2d0480f,1730598125,weekly,friday,2024-11-13T21:45:33.348442469Z,8,disabled
5562b861-7da8-44f2-bf72-41fbe1ed45bd,1722522649,weekly,friday,2024-08-16T08:00:33.317871589Z,23,enabled
9db278ab-0c8e-4cf0-be53-623ca0b9829f,1722522633,weekly,friday,2024-08-16T08:00:29.843574187Z,23,enabled
e8a7d110-740a-4228-8aee-e679d6554e62,1725383801,biweekly,monday,2024-10-14T08:00:35.417221357Z,28,enabled
f233e872-99f8-45fd-85b6-9699a17eac04,1727703103,biweekly,saturday,1727703103,12,enabled
defe6866-8b08-4922-a12c-c86b55c8cc4d,1730163330,weekly,friday,2024-10-29T12:39:21.988274764Z,1,enabled
49a987e8-0be2-4a51-923a-408d25c6852c,1725319539,monthly,fifteenth_day,2024-09-12T02:08:51.191109009Z,15,enabled
2aa73dba-7567-48ea-9f93-c50bc3f1e957,1726789453,biweekly,thursday,2024-10-27T14:32:39.122668749Z,7,disabled
0a13723f-b464-4472-80a4-888bd0601a62,1728683375,biweekly,friday,2024-10-25T08:00:34.637368142Z,8,enabled
047b13e2-8605-4a45-babf-5ebac6d5eab1,1727051617,biweekly,friday,2024-11-29T08:00:26.158771096Z,13,enabled
808ec6b9-f29c-46cb-a729-17626057b53b,1731814923,monthly,fifteenth_day,2024-11-17T19:30:08.918407595Z,15,enabled
3fa1d0af-45d7-4883-9d95-2478c68a62f0,1727560672,weekly,friday,2024-11-29T08:00:34.558689085Z,6,enabled
c855b5c5-fdda-422d-b10e-a7b1b568ea05,1727560634,weekly,friday,2024-11-01T08:01:53.286521624Z,8,enabled
2f022145-204c-45fd-baec-9b774d7476ec,1728165562,biweekly,wednesday,2024-10-16T13:25:21.732189573Z,30,disabled
a7de0e5b-a680-4bc3-87ca-55179b817774,1728165208,biweekly,wednesday,2024-10-16T13:25:03.173474597Z,30,disabled
f34ff829-1490-452c-9f75-2f57038cfe11,1729194716,weekly,thursday,2024-10-24T08:00:35.44071396Z,24,disabled
fee1ed28-e80a-4474-9e7c-e71ac73fff1d,1729194667,weekly,thursday,2024-10-24T08:00:39.877205426Z,24,disabled
b8125cbd-87b6-41f4-b96a-2296b9069712,1731729202,monthly,first_day,1731729202,1,enabled
1ef67212-ce05-422b-857b-4155af300e45,1725466297,weekly,thursday,2024-09-12T16:20:15.812900941Z,19,enabled
ad8534c9-eb87-4913-8336-2050756b5a5e,1728350403,biweekly,wednesday,2024-10-22T18:30:27.834526266Z,30,disabled
8b27a324-df01-40ad-a8a2-28c434290d7b,1725933748,biweekly,thursday,2024-09-10T02:26:41.37308762Z,19,enabled
c913c7f3-4169-420b-b102-34706e44259f,1725933628,biweekly,thursday,2024-09-10T02:26:33.452721281Z,19,enabled
32784408-b719-4354-baef-395aee3aa4a3,1732892809,weekly,saturday,2024-11-30T20:15:03.707720746Z,7,enabled
8263dc32-e03e-458b-a40c-798f286fe4f2,1732892781,weekly,saturday,2024-11-30T20:14:28.70573848Z,7,enabled
f744f739-0b3a-4d6b-b75b-c3560fed6d12,1732892797,weekly,saturday,2024-12-02T17:55:08.622302235Z,7,disabled
1c3d4231-3e7b-4e1a-8d75-d46fb7515c0d,1729369107,biweekly,thursday,1729369107,31,enabled
cd174bb6-eeb2-48b1-a7c3-db504f441638,1727978330,weekly,monday,1727978330,7,enabled
ee9a3a36-3ba3-4d0a-a34a-61a6de77cd26,1728783640,monthly,first_day,2024-12-01T08:01:49.922482513Z,1,enabled
aa4472ce-4fc8-48b6-b700-d7142498398f,1726270713,biweekly,monday,1726270713,23,enabled
d278b45a-b3c0-4df8-b58c-909027a437e7,1726270767,biweekly,monday,1726270767,23,enabled
ff3c5f02-1607-41b4-8a10-92cd586d61e8,1726270741,biweekly,monday,1726270741,23,enabled
08345155-d2a6-465c-97c6-9f9b63ed0b1f,1730081396,biweekly,saturday,2024-11-02T05:56:59.411071527Z,9,disabled
aad84473-db9e-45b1-9977-d586b90038d4,1729896882,weekly,saturday,2024-11-02T05:57:15.672745056Z,26,disabled
d349e9b3-684f-45b3-b56c-c1ecab1f51bb,1729896899,weekly,saturday,2024-11-02T05:57:05.331421196Z,26,disabled
